session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
6214535b5001c549ed5596c6,612c388cc21a5ebc704200c8,APPROVED,2022-02-22 03:07:10.360000,2022-02-22 03:30:57.319000,1426.959,22,337,0,100,2022-02-22 05:14:19.017000,8D216DAB,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
62145379e209d3eeb031a129,5f038dc85819b15b08840dfd,APPROVED,2022-02-22 03:16:03.489000,2022-02-22 04:06:25.512000,3022.023,25,1285,15,98,2022-02-22 05:14:19.080000,8D216DAB,United States,United States,Full-Time,English,English,United States,Male,DATA EXPIRED
6214537f79cc12b94893c273,58237d6a9b80f50001ba247b,RETURNED,2022-02-22 03:07:43.351000,,11555.541626,36,740,15,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
621454064ae8127ba00a8726,5f7d026c6fd2421d2dc1af04,APPROVED,2022-02-22 03:14:49.265000,2022-02-22 03:37:06.986000,1337.721,35,1150,0,100,2022-02-22 05:14:19.170000,8D216DAB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Male,No
621454171f9055f6010a72cd,5591cd21fdf99b63126f6c60,RETURNED,2022-02-22 03:10:18.349000,,11400.577401,31,2049,8,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6214547908a04b221f06a5a7,5efdcf388c837e24c1bbb083,RETURNED,2022-02-22 03:11:55.676000,,11303.268265,51,576,6,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
621454903f86d00be67e90ac,5dc0ac2c441a2105cbb3bb0f,APPROVED,2022-02-22 03:12:20.338000,2022-02-22 03:52:20.980000,2400.642,34,1687,1,100,2022-02-22 05:14:19.258000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
621455312f2c4ce2c5d49553,5eaa5d8b040c211e56dc98c0,APPROVED,2022-02-22 03:15:00.625000,2022-02-22 03:58:18.164000,2597.539,36,1129,7,99,2022-02-22 05:29:29.570000,8D216DAB,United States,United States,Part-Time,English,English,United States,Male,No
621455689baab815f6ca04d6,5ca73ac06fa13f00189cbe17,APPROVED,2022-02-22 03:16:07.476000,2022-02-22 04:21:54.617000,3947.141,57,1592,4,100,2022-02-22 05:56:17.181000,8D216DAB,United States,United States,Part-Time,English,"English, German",United States,Male,No
621455880ec6c8e413493a65,5c8eac4388549d001527e8cc,APPROVED,2022-02-22 03:16:27.615000,2022-02-22 03:35:53.655000,1166.04,21,310,0,100,2022-02-22 05:14:19.399000,8D216DAB,United States,United States,DATA EXPIRED,English,"Spanish, English",United States,Male,DATA EXPIRED
621455c9e83f6e6633e8575c,5ee642c9f5cb343a58b1ef13,APPROVED,2022-02-22 03:17:33.524000,2022-02-22 03:38:11.822000,1238.298,40,1560,8,99,2022-02-22 05:14:19.334000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
621455cd66bfb0e205c65d98,5e4a0a67110b3747ea173d60,APPROVED,2022-02-22 03:17:33.119000,2022-02-22 03:43:47.744000,1574.625,58,1988,1,100,2022-02-22 05:14:19.459000,8D216DAB,United States,United States,Full-Time,English,English,United States,Male,No
